,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2017.01,0.035,0.024,0.028,0.027,0.023,0.024,0.024,0.027,0.033,0.022,0.027,0.023,0.02,0.016,0.019,0.023,0.013
2017.02,0.018,0.031,0.024,0.023,0.029,0.023,0.028,0.025,0.019,0.024,0.021,0.025,0.03,0.029,0.03,0.03,0.04
2017.03,0.038,0.022,0.024,0.03,0.025,0.021,0.025,0.024,0.034,0.019,0.025,0.022,0.019,0.019,0.018,0.023,0.014
2017.04,0.035,0.042,0.04,0.035,0.041,0.043,0.042,0.042,0.035,0.041,0.041,0.04,0.046,0.041,0.047,0.046,0.055
2017.05,0.039,0.044,0.044,0.038,0.042,0.047,0.041,0.047,0.039,0.047,0.045,0.044,0.049,0.041,0.052,0.049,0.054
2017.06,0.041,0.041,0.047,0.037,0.044,0.05,0.039,0.052,0.041,0.047,0.049,0.045,0.05,0.039,0.049,0.048,0.044
2017.07,0.03,0.028,0.031,0.028,0.031,0.03,0.031,0.033,0.03,0.032,0.03,0.035,0.035,0.028,0.03,0.034,0.026
2017.08,0.024,0.027,0.028,0.025,0.03,0.025,0.027,0.027,0.025,0.022,0.025,0.031,0.033,0.032,0.024,0.033,0.030*
2017.09,0.027,0.033,0.029*,0.03,0.033,0.03,0.032,0.027,0.026,0.027*,0.027,0.037,0.036,0.037,0.03,0.036,0.047
2017.10,0.02,0.03,0.020*,0.024,0.024,0.021,0.028,0.02,0.019,0.021,0.019,0.026,0.026,0.029,0.024,0.031,0.041
2017.11,0.014,0.023,0.016,0.017,0.017,0.017,0.022,0.017,0.014,0.02,0.015,0.021,0.022,0.025,0.022,0.022,0.035
2017.12,0.011,0.02,0.015,0.014,0.017,0.015,0.021,0.014,0.012,0.018,0.013,0.018,0.021,0.023,0.02,0.02,0.033
2018.01,0.014,0.021,0.017,0.017,0.02,0.016,0.023,0.015,0.014,0.02,0.015,0.018,0.023,0.025,0.022,0.021,0.033
2018.02,0.018,0.027,0.023,0.022,0.026,0.023,0.03,0.022,0.02,0.026,0.023,0.024,0.029,0.03,0.028,0.027,0.038
2018.03,0.026,0.034,0.03,0.027,0.033,0.032,0.033,0.032,0.028,0.035,0.033,0.032,0.037,0.036,0.037,0.034,0.042
2018.04,0.031,0.039,0.038,0.032,0.036,0.039,0.036,0.04,0.034,0.042,0.037,0.039,0.041,0.038,0.045,0.042,0.043
2018.05,0.034,0.039,0.041,0.034,0.039,0.045,0.035,0.043,0.037,0.044,0.039,0.043,0.044,0.039,0.043,0.044,0.045
2018.06,0.035,0.038,0.043,0.034,0.041,0.046,0.033,0.046,0.038,0.046,0.04,0.044,0.045,0.039,0.046,0.047,0.042
2018.07,0.024,0.026,0.03,0.021,0.022,0.028,0.028,0.029,0.025,0.03,0.028,0.026,0.026,0.021,0.03,0.031,0.022
2018.08,0.03,0.025,0.026,0.031,0.027,0.031,0.023,0.031,0.03,0.027,0.027,0.034,0.032,0.024,0.028,0.029,0.028
2018.09,0.027,0.031,0.025,0.029,0.029,0.027,0.031,0.027,0.026,0.026,0.027,0.031,0.03,0.028,0.029,0.033,0.044
2018.10,0.018,0.028,0.02,0.022,0.024,0.018,0.027,0.019,0.018,0.021,0.019,0.025,0.025,0.027,0.025,0.027,0.046
2018.11,0.011,0.02,0.012,0.016,0.015,0.011,0.021,0.011,0.012,0.016,0.013,0.018,0.019,0.02,0.019,0.019,0.045
2018.12,0.012,0.019,0.013,0.016,0.018,0.011,0.021,0.012,0.013,0.016,0.012,0.018,0.02,0.02,0.019,0.02,0.037
2019.01,0.012,0.023,0.017,0.017,0.021,0.013,0.025,0.014,0.013,0.021,0.015,0.02,0.022,0.025,0.024,0.024,0.039
2019.02,0.018,0.029,0.024,0.023,0.028,0.016,0.03,0.02,0.019,0.027,0.021,0.026,0.03,0.031,0.03,0.03,0.043
2019.03,0.028,0.039,0.036,0.033,0.036,0.028,0.039,0.034,0.03,0.038,0.034,0.036,0.04,0.041,0.041,0.042,0.054
2019.04,0.029,0.037,0.036,0.033,0.036,0.03,0.037,0.036,0.032,0.04,0.035,0.036,0.04,0.04,0.041,0.04,0.052
2019.05,0.043,0.048,0.048,0.046,0.048,0.045,0.047,0.051,0.048,0.056,0.048,0.053,0.054,0.051,0.054,0.053,0.062
2019.06,0.039,0.038,0.044,0.041,0.039,0.038,0.038,0.044,0.042,0.044,0.042,0.046,0.045,0.043,0.045,0.044,0.048
2019.07,0.031,0.028,0.03,0.032,0.029,0.028,0.028,0.031,0.034,0.034,0.03,0.036,0.032,0.031,0.032,0.033,0.035
2019.08,0.03,0.03,0.03,0.037,0.031,0.029,0.029,0.031,0.033,0.03,0.028,0.036,0.032,0.031,0.032,0.033,0.039
2019.09,0.024,0.028,0.025,0.026,0.027,0.025,0.027,0.025,0.024,0.023,0.024,0.03,0.029,0.028,0.028,0.028,0.041
2019.10,0.021,0.029,0.022,0.024,0.025,0.02,0.029,0.021,0.021,0.024,0.021,0.027,0.027,0.029,0.028,0.027,0.042
2019.11,0.013,0.023,0.017,0.017,0.021,0.016,0.023,0.016,0.014,0.02,0.016,0.02,0.023,0.025,0.023,0.022,0.041
2019.12,0.011,0.018,0.014,0.015,0.019,0.013,0.02,0.013,0.012,0.019,0.012,0.019,0.021,0.022,0.021,0.019,0.036
