,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
region,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
2017.01,53,45,49,52,47,51,42,53,63,56,56,50,56,36,47,46,35
2017.02,46,42,41,47,35,46,39,46,55,54,50,45,50,33,41,42,37
2017.03,60,52,48,62,49,54,51,57,71,60,58,-,66,42,47,50,44
2017.04,56,54,50,58,54,58,55,58,64,55,54,61,64,45,46,52,54
2017.05,63,58,53,63,56,63,64,64,70,61,57,68,67,51,51,55,47
2017.06,41,42,38,42,35,43,44,44,45,41,40,43,44,34,35,42,37
2017.07,33,37,34,37,24,32,41,36,37,33,28,33,31,30,30,39,26
2017.08,21,28,24,27*,24,24,27,28,26,22,20,28,27,25,22,29,28*
2017.09,32,39,36*,38,34,37,36,40,41,34*,35,40,38,30,32,35,32*
2017.10,29,32,32*,33,33,36,29,39,37,27,32,38,39,25,31,30,27
2017.11,42,50,52,41,50,51,46,50,51,43,50,46,52,39,49,48,40
2017.12,50,46,46,45,44,49,38,47,54,43,48,44,44,34,47,43,34
2018.01,52,45,47,48,45,56,40,53,56,47,54,51,54,37,48,43,33
2018.02,53,52,48,49,50,56,47,51,56,46,51,49,58,42,52,49,42
2018.03,52,44,43,49,48,52,40,46,56,44,50,48,55,39,48,42,42
2018.04,52,63,56,46,56,60,64,55,56,54,55,51,58,51,63,60,55
2018.05,42,44,40,40,40,47,45,45,45,41,44,42,42,35,48,42,37
2018.06,37,41,36,34,41,38,42,36,39,35,38,36,43,35,39,41,33
2018.07,24,37,27,26,26,26,39,27,26,28,30,23,25,26,32,35,28
2018.08,22,28,22,25,24,22,25,24,25,23,25,24,23,23,24,28,25
2018.09,20,26,24,24,25,22,26,23,24,23,26,22,24,23,28,29,26
2018.10,28,32,32,33,34,31,31,31,35,26,39,31,35,29,35,34,30
2018.11,52,47,57,55,59,63,47,58,62,46,65,60,63,45,60,52,39
2018.12,43,40,47,45,43,51,35,55,50,41,53,45,47,37,49,43,30
2019.01,66,48,57,62,53,66,45,70,72,59,70,62,61,42,62,49,35
2019.02,57,48,54,55,57,62,46,64,61,51,63,58,62,47,57,51,42
2019.03,69,51,54,67,63,68,49,71,72,59,67,67,68,48,60,51,50
2019.04,41,40,40,43,43,40,40,40,45,39,43,43,44,33,43,40,38
2019.05,52,47,46,51,50,46,49,50,56,46,50,52,50,41,47,47,43
2019.06,29,32,32,29,40,30,34,34,32,29,36,34,38,31,33,36,30
2019.07,26,26,26,31,29,23,29,23,30,26,24,26,26,23,28,29,26
2019.08,25,30,26,30,31,25,30,27,29,26,26,29,29,28,28,32,30
2019.09,21,24,23,28,27,22,25,23,26,21,23,27,26,22,25,27,25
2019.10,31,27,27,35,35,29,27,32,37,28,33,38,34,27,31,30,32
2019.11,40,35,41,41,43,43,34,45,47,36,47,46,43,35,40,37,40
2019.12,42,35,42,40,33,40,33,46,47,37,46,42,36,28,39,33,29
